,tenure,TotalCharges,Churn,Contract_Month-to-month,Contract_Two year
1,0.4722222222222222,0.21756401989683127,0.0,0.0,0.0
2,0.027777777777777776,0.012452791083271925,1.0,1.0,0.0
4,0.027777777777777776,0.01746154200442152,1.0,1.0,0.0
5,0.1111111111111111,0.09447540530582167,1.0,1.0,0.0
6,0.3055555555555556,0.22446112748710392,0.0,1.0,0.0
8,0.3888888888888889,0.3507334653647753,1.0,1.0,0.0
9,0.8611111111111112,0.4016154661016949,0.0,0.0,0.0
10,0.18055555555555555,0.06764116617538689,0.0,1.0,0.0
12,0.8055555555555556,0.6541428703021371,0.0,0.0,0.0
13,0.6805555555555556,0.5798982129697864,1.0,1.0,0.0
14,0.3472222222222222,0.3092817336035373,0.0,1.0,0.0
15,0.9583333333333334,0.9090767778187178,0.0,0.0,1.0
17,0.9861111111111112,0.8500195744288873,0.0,0.0,1.0
18,0.1388888888888889,0.06083617354458365,1.0,1.0,0.0
19,0.2916666666666667,0.21450119749447313,0.0,1.0,0.0
23,0.8055555555555556,0.4035901805453206,0.0,0.0,1.0
24,0.6805555555555556,0.3420113301400148,0.0,1.0,0.0
25,0.4166666666666667,0.17623894620486366,0.0,1.0,0.0
26,0.6527777777777778,0.5468346997052321,1.0,1.0,0.0
28,1.0,0.7334020357406044,0.0,0.0,1.0
29,0.2361111111111111,0.1258635777450258,1.0,1.0,0.0
30,0.9861111111111112,0.7791716562269713,0.0,0.0,1.0
31,0.027777777777777776,0.02091585298452469,0.0,1.0,0.0
32,0.375,0.21583110722181284,0.0,0.0,0.0
34,0.013888888888888888,0.005210252394988946,0.0,1.0,0.0
35,1.0,0.8349875644804716,0.0,0.0,1.0
36,0.06944444444444445,0.03648903831982314,1.0,1.0,0.0
37,0.6388888888888888,0.4085643883566692,0.0,1.0,0.0
38,0.4722222222222222,0.40867377487103906,1.0,1.0,0.0
39,0.1527777777777778,0.1272798452468681,1.0,1.0,0.0
40,0.1388888888888889,0.05477385777450258,0.0,0.0,0.0
41,0.9722222222222222,0.5610204034635226,0.0,0.0,1.0
43,0.875,0.5597653371407517,0.0,0.0,1.0
44,0.18055555555555555,0.11300778371407517,0.0,1.0,0.0
45,0.6805555555555556,0.44983189019896835,0.0,1.0,0.0
46,0.027777777777777776,0.011168938835666914,0.0,1.0,0.0
47,0.027777777777777776,0.016597964259395727,1.0,1.0,0.0
